"St.num.";"Station name";"St.num.";"Station name";;0,50;"Time1";"Time add";"Time2";;"Dist. ticket";"Ticket Wo";"Ticket Nw";"Serv.";"Interch.";"Dist. real";"Comment"
25;"Oslo S";10;"Haugesund";101,43;47,66;125,27;0,29;125,56;;384,0760;1046,78;628,07;16;;384,076;
25;"Oslo S";11;"Kårstø";101,32;43,81;123,23;10,25;133,47;;382,1000;1042,31;625,39;16;;382,100;
25;"Oslo S";12;"Stavanger";112,51;47,53;136,28;10,25;146,53;;431,2200;1149,38;689,63;32;;431,220;
25;"Oslo S";13;"Haukeligrend";65,80;31,23;81,41;2,30;83,71;;231,5760;682,18;409,31;24;;231,576;
25;"Oslo S";14;"Åmot";57,93;27,18;71,52;2,30;73,81;;198,1520;597,40;358,44;24;;198,152;
25;"Oslo S";15;"Brunkeberg";50,11;22,71;61,47;2,30;63,76;;165,5200;510,44;306,27;24;;165,520;
25;"Oslo S";16;"Bø";41,99;17,52;50,75;2,30;53,05;;129,7486;413,10;247,86;40;;129,749;
25;"Oslo S";17;"Nordagutu";39,53;17,52;48,29;2,30;50,58;;119,1080;385,60;231,36;16;;119,108;
25;"Oslo S";18;"Skien";46,92;21,51;57,67;2,30;59,97;;149,5380;467,50;280,50;32;;149,538;
25;"Oslo S";19;"Notodden";35,14;13,57;41,93;2,30;44,22;;100,5600;332,80;199,68;48;;100,560;
25;"Oslo S";20;"Kongsberg";29,53;7,07;33,06;2,30;35,36;;72,9400;253,67;152,20;48;;72,940;
25;"Oslo S";21;"Eiker";22,14;3,59;23,93;2,30;26,23;;50,7220;190,40;114,24;48;;50,722;
25;"Oslo S";22;"Drammen";16,07;3,59;17,87;2,30;20,16;;40,8300;161,32;96,79;144;;40,830;
25;"Oslo S";23;"Nesbru";10,03;0,00;10,03;0,50;10,53;;18,8200;96,64;57,98;72;;18,820;
25;"Oslo S";24;"Majorstua";;;2,58;;2,58;;3,5200;51,98;31,19;144;;3,520;
25;"Oslo S";26;"Holmestrand";;;33,62;3,35;36,96;;72,7300;253,67;152,20;32;;72,7300;
25;"Oslo S";27;"Tønsberg";;;42,62;3,35;45,96;;98,6800;327,20;196,32;48;;98,6800;
25;"Oslo S";28;"Sandefjord";;;62,67;3,35;66,01;;123,9900;396,62;237,97;48;;123,9900;
25;"Oslo S";29;"Larvik";;;76,67;3,35;80,02;;143,1300;451,26;270,76;32;;182,2680;
25;"Oslo S";30;"Porsgrunn";;;64,17;3,35;67,52;;157,4280;489,04;293,42;32;;157,4280;
25;"Oslo S";31;"Drangedal";;;79,75;12,30;92,05;;171,5092;526,42;315,85;16;1,00;171,5092;
25;"Oslo S";32;"Gjerstad";;;104,75;12,30;117,05;;203,5992;610,38;366,23;16;1,00;203,5992;
25;"Oslo S";33;"Arendal";;;184,75;12,30;197,05;;284,1792;813,78;488,27;16;1,00;284,1792;
25;"Oslo S";34;"Kristiansand";;;199,75;12,30;212,05;;331,8392;925,78;555,47;16;1,00;331,8392;
26;"Holmestrand";1;"Bergen";;;133,81;10,00;143,81;;402,4000;1086,59;651,95;32;1,00;402,4000;
26;"Holmestrand";2;"Arna";;;127,58;10,00;137,58;;393,0500;1066,76;640,06;32;1,00;393,0500;
26;"Holmestrand";3;"Tysse";;;121,43;10,00;131,43;;375,4740;1026,62;615,97;16;1,00;375,4740;
26;"Holmestrand";4;"Kvam-Jondal";;;112,79;10,00;122,79;;348,0580;965,20;579,12;16;1,00;348,0580;
26;"Holmestrand";5;"Odda";;;103,74;10,00;113,74;;316,8040;890,51;534,31;16;1,00;316,8040;
26;"Holmestrand";6;"Røldal";;;93,69;10,00;103,69;;280,9740;804,04;482,42;16;1,00;280,9740;
26;"Holmestrand";7;"Sauda";;;98,64;8,04;106,68;;300,9860;852,40;511,44;16;1,00;300,9860;
26;"Holmestrand";8;"Ølen";;;108,38;8,04;116,41;;333,1760;930,44;558,27;16;1,00;333,1760;
26;"Holmestrand";9;"Aksdal";;;117,97;6,07;124,04;;365,4660;1004,04;602,43;16;1,00;365,4660;
26;"Holmestrand";10;"Haugesund";;;122,10;8,00;130,10;;375,1460;1026,62;615,97;16;1,00;375,1460;
26;"Holmestrand";11;"Kårstø";;;120,06;17,95;138,01;;373,1700;1022,12;613,27;16;1,00;373,1700;
26;"Holmestrand";12;"Stavanger";;;133,11;17,95;151,06;;422,2900;1130,07;678,04;32;1,00;422,2900;
26;"Holmestrand";13;"Haukeligrend";;;78,25;10,00;88,25;;222,6460;659,27;395,56;24;1,00;222,6460;
26;"Holmestrand";14;"Åmot";;;68,35;10,00;78,35;;189,2220;573,90;344,34;24;1,00;189,2220;
26;"Holmestrand";15;"Brunkeberg";;;58,30;10,00;68,30;;156,5900;486,35;291,81;24;1,00;156,5900;
26;"Holmestrand";16;"Bø";;;47,59;10,00;57,59;;120,8186;388,36;233,02;32;1,00;120,8186;
26;"Holmestrand";17;"Nordagutu";;;45,12;10,00;55,12;;110,1780;360,68;216,41;16;1,00;110,1780;
26;"Holmestrand";18;"Skien";;;73,15;;73,15;;103,1300;341,18;204,71;32;;103,130;
26;"Holmestrand";19;"Notodden";;;38,76;10,00;48,76;;91,6300;307,54;184,52;32;1,00;91,6300;
26;"Holmestrand";20;"Kongsberg";;;29,90;10,00;39,90;;64,0100;230,78;138,47;32;1,00;64,0100;
26;"Holmestrand";21;"Eiker";;;20,77;10,00;30,77;;41,7920;164,24;98,54;32;1,00;41,7920;
26;"Holmestrand";22;"Drammen";;;15,75;;15,75;;31,9000;134,98;80,99;32;;31,900;
26;"Holmestrand";23;"Nesbru";;;24,39;6,05;30,44;;53,9100;199,08;119,45;32;0,50;53,9100;
26;"Holmestrand";24;"Majorstua";;;30,02;3,32;33,34;;69,2100;245,10;147,06;32;;69,2100;
26;"Holmestrand";25;"Oslo S";;;33,88;3,32;37,19;;72,7300;253,67;152,20;32;;72,7300;
26;"Holmestrand";27;"Tønsberg";;;13,10;;13,10;;25,9500;117,32;70,39;32;;25,950;
26;"Holmestrand";28;"Sandefjord";;;33,15;;33,15;;51,2600;193,30;115,98;32;;51,260;
26;"Holmestrand";29;"Larvik";;;51,15;;51,15;;70,4000;247,96;148,78;32;;70,400;
26;"Holmestrand";30;"Porsgrunn";;;65,65;;65,65;;95,2400;318,78;191,27;32;;95,240;
26;"Holmestrand";31;"Drangedal";;;76,59;20,00;96,59;;162,5792;502,43;301,46;16;2,00;162,5792;
26;"Holmestrand";32;"Gjerstad";;;101,59;20,00;121,59;;194,6692;586,98;352,19;16;2,00;194,6692;
26;"Holmestrand";33;"Arendal";;;181,59;20,00;201,59;;275,2492;791,82;475,09;16;2,00;275,2492;
26;"Holmestrand";34;"Kristiansand";;;196,59;20,00;216,59;;322,9092;904,67;542,80;16;2,00;322,9092;
