"St.num.";"Station name";"St.num.";"Station name";"Reise Tid";"Billetpris Forerningsreisende";"Bilettpris fritidsreiser";"Antall avganger per rerning";"Antall togbytter";"Avstand";"Comment"
7;"Sauda";8;"Ølen";10,71275;137,911;82,7466;18;0;32,1899999999999;
7;"Sauda";9;"Aksdal";20,2992916666667;230,775;138,465;20;0;64,48;
7;"Sauda";10;"Haugesund";26,358125;259,375;155,625;20;0;74,16;
7;"Sauda";11;"Kårstø";32,30984;253,671;152,2026;18;0;72,184;
7;"Sauda";12;"Stavanger";45,3601316666667;391,116;234,6696;36;0;121,304;
7;"Sauda";13;"Haukeligrend";22,5086266666667;270,759;162,4554;8;0;78,3376;
7;"Sauda";14;"Åmot";34,5526933333333;363,456;218,0736;8;0;111,7616;
7;"Sauda";15;"Brunkeberg";46,54681;453,975;272,385;8;0;144,3936;
7;"Sauda";16;"Bø";49,7234266666667;550,239;330,1434;12;0;180,0106;
7;"Sauda";17;"Nordagutu";64,9844391666667;592,191;355,3146;8;0,75;196,9876;
7;"Sauda";18;"Skien";75,8831683333333;672,016;403,2096;12;0,5;227,4176;"ic. Bø 10min"
7;"Sauda";19;"Notodden";59,5154766666667;625,9;375,54;8;0;209,3536;
7;"Sauda";20;"Kongsberg";69,57418;694,831;416,8986;8;0;236,8458;
7;"Sauda";21;"Eiker";77,036735;752,4;451,44;8;0;259,1916;
7;"Sauda";22;"Drammen";81,3674766666667;777,1;466,26;16;0;269,0836;
7;"Sauda";23;"Nesbru";96,05831;830,736;498,4416;16;0,5;291,0936;
7;"Sauda";24;"Majorstua";98,95506;866,751;520,0506;16;0;306,3936;
7;"Sauda";25;"Oslo S";102,811226666667;873,9;524,34;16;0;309,9136;
7;"Sauda";26;"Holmestrand";107,117476666667;852,399;511,4394;16;1;300,9836;
7;"Sauda";27;"Tønsberg";125,39051;861,975;517,185;16;0,5;304,5976;"ic. Dr 10min"
7;"Sauda";28;"Sandefjord";113,933168333333;801,6;480,96;12;0,5;279,2876;"ic. Bø 10min"
7;"Sauda";29;"Larvik";95,9331683333333;754,879;452,9274;12;0,5;260,1476;"ic. Bø 10min"
7;"Sauda";30;"Porsgrunn";83,4331683333333;692,304;415,3824;12;0,5;235,3076;"ic. Bø 10min"
7;"Sauda";31;"Drangedal";93,7234266666667;659,271;395,5626;8;1;222,3076;
7;"Sauda";32;"Gjerstad";118,723426666667;739,975;443,985;8;1;254,3976;
7;"Sauda";33;"Arendal";198,723426666667;932,775;559,665;8;1;334,9776;
7;"Sauda";34;"Kristiansand";213,723426666667;1042,311;625,3866;8;1;382,6376;
8;"Ølen";1;"Bergen";61,5435266666667;566,031;339,6186;16;0;186,8716;
8;"Ølen";2;"Arna";55,3081933333333;542,316;325,3896;16;0;177,5216;
8;"Ølen";3;"Tysse";49,158885;494,4;296,64;8;0;159,9456;
8;"Ølen";4;"Kvam-Jondal";40,5198266666667;421,311;252,7866;8;0;132,5296;
8;"Ølen";5;"Odda";31,4685516666667;335,596;201,3576;8;0;101,2756;
8;"Ølen";6;"Røldal";21,09676;233,644;140,1864;8;0;65,4456;
8;"Ølen";7;"Sauda";10,7425;137,911;82,7466;18;0;32,19;
8;"Ølen";9;"Aksdal";10,5411666666666;137,911;82,7466;20;0;32,29;
8;"Ølen";10;"Haugesund";16,6;164,236;98,5416;20;0;41,97;
8;"Ølen";11;"Kårstø";22,551715;158,4;95,04;18;0;39,994;
8;"Ølen";12;"Stavanger";35,6020066666667;301,9;181,14;36;0;89,114;
8;"Ølen";13;"Haukeligrend";32,1897516666667;360,679;216,4074;8;0;110,5276;
8;"Ølen";14;"Åmot";44,2338183333333;451,264;270,7584;8;0;143,9516;
8;"Ølen";15;"Brunkeberg";56,227935;539,671;323,8026;8;0;176,5836;
8;"Ølen";16;"Bø";59,4045516666667;633,631;380,1786;12;0;212,2006;
8;"Ølen";17;"Nordagutu";74,6655641666667;677,1;406,26;8;0,75;229,1776;
8;"Ølen";18;"Skien";85,5642933333333;752,4;451,44;12;0,5;259,6076;
8;"Ølen";19;"Notodden";69,1966016666667;707,436;424,4616;8;0;241,5436;
8;"Ølen";20;"Kongsberg";79,255305;777,1;466,26;8;0;269,0358;
8;"Ølen";21;"Eiker";86,71786;830,736;498,4416;8;0;291,3816;
8;"Ølen";22;"Drammen";91,0486016666667;854,796;512,8776;16;0;301,2736;
8;"Ølen";23;"Nesbru";105,739435;907,024;544,2144;16;0,5;323,2836;
8;"Ølen";24;"Majorstua";108,636185;942,079;565,2474;16;0;338,5836;
8;"Ølen";25;"Oslo S";112,492351666667;951,351;570,8106;16;0;342,1036;
8;"Ølen";26;"Holmestrand";116,798601666667;930,444;558,2664;16;1;333,1736;
8;"Ølen";27;"Tønsberg";135,071635;937,431;562,4586;16;0,5;336,7876;"ic. Dr 10min"
8;"Ølen";28;"Sandefjord";123,614293333333;878,656;527,1936;12;0,5;311,4776;"ic. Bø 10min"
8;"Ølen";29;"Larvik";105,614293333333;833,151;499,8906;12;0,5;292,3376;"ic. Bø 10min"
8;"Ølen";30;"Porsgrunn";93,1142933333333;772,176;463,3056;12;0,5;267,4976;"ic. Bø 10min"
8;"Ølen";31;"Drangedal";103,404551666667;739,975;443,985;8;1;254,4976;
8;"Ølen";32;"Gjerstad";128,404551666667;818,631;491,1786;8;1;286,5876;
8;"Ølen";33;"Arendal";208,404551666667;1008,576;605,1456;8;1;367,1676;
8;"Ølen";34;"Kristiansand";223,404551666667;1112,775;667,665;8;1;414,8276;
9;"Aksdal";1;"Bergen";71,1011933333333;651,6;390,96;16;0;219,1616;
9;"Aksdal";2;"Arna";64,86586;625,9;375,54;16;0;209,8116;
9;"Aksdal";3;"Tysse";58,7165516666667;581,751;349,0506;8;0;192,2356;
9;"Aksdal";4;"Kvam-Jondal";50,0774933333333;507,775;304,665;8;0;164,8196;
9;"Aksdal";5;"Odda";41,0262183333333;424,044;254,4264;8;0;133,5656;
9;"Aksdal";6;"Røldal";30,6544266666667;324,396;194,6376;8;0;97,7356;
9;"Aksdal";7;"Sauda";20,3001666666667;230,775;138,465;20;0;64,48;
9;"Aksdal";8;"Ølen";10,5114166666667;137,911;82,7466;20;0;32,29;
9;"Aksdal";10;"Haugesund";5,00883333333334;69,9;41,94;60;0;9,68000000000001;
9;"Aksdal";11;"Kårstø";6,41628;84,775;50,865;10;0;14,8518;
9;"Aksdal";12;"Stavanger";19,4744466666667;227,904;136,7424;20;0;63,9718;
9;"Aksdal";13;"Haukeligrend";41,7474183333333;448,551;269,1306;8;0;142,8176;
9;"Aksdal";14;"Åmot";53,791485;539,671;323,8026;8;0;176,2416;
9;"Aksdal";15;"Brunkeberg";65,7856016666667;623,319;373,9914;8;0;208,8736;
9;"Aksdal";16;"Bø";65,8227183333333;714,975;428,985;16;0;244,4906;
9;"Aksdal";17;"Nordagutu";85,0825433333334;757,356;454,4136;8;0,5;261,4676;
9;"Aksdal";18;"Skien";95,12196;830,736;498,4416;16;0,5;291,8976;
9;"Aksdal";19;"Notodden";76,8660183333333;786,924;472,1544;8;0;273,8336;
9;"Aksdal";20;"Kongsberg";86,9247216666667;854,796;512,8776;8;0;301,3258;
9;"Aksdal";21;"Eiker";94,3872766666667;907,024;544,2144;8;0;323,6716;
9;"Aksdal";22;"Drammen";98,7180183333334;930,444;558,2664;16;0;333,5636;
9;"Aksdal";23;"Nesbru";113,408851666667;981,264;588,7584;16;0,5;355,5736;
9;"Aksdal";24;"Majorstua";116,305601666667;1015,359;609,2154;16;0;370,8736;
9;"Aksdal";25;"Oslo S";120,161768333333;1024,375;614,625;16;0;374,3936;
9;"Aksdal";26;"Holmestrand";124,468018333333;1004,044;602,4264;16;1;365,4636;
9;"Aksdal";27;"Tønsberg";144,629301666667;1013,1;607,86;16;0,5;369,0776;"ic. Dr 10min"
9;"Aksdal";28;"Sandefjord";133,17196;953,664;572,1984;16;0,5;343,7676;
9;"Aksdal";29;"Larvik";115,17196;909,375;545,625;16;0,5;324,6276;
9;"Aksdal";30;"Porsgrunn";102,67196;850;510;16;0,5;299,7876;
9;"Aksdal";31;"Drangedal";109,822718333333;818,631;491,1786;16;1;286,7876;
9;"Aksdal";32;"Gjerstad";134,822718333333;895,239;537,1434;16;1;318,8776;
9;"Aksdal";33;"Arendal";214,822718333333;1080;648;16;1;399,4576;
9;"Aksdal";34;"Kristiansand";229,822718333333;1183,296;709,9776;16;1;447,1176;
10;"Haugesund";1;"Bergen";77,1722766666667;674,559;404,7354;16;0;228,8416;
10;"Haugesund";2;"Arna";70,9369433333333;651,6;390,96;16;0;219,4916;
10;"Haugesund";3;"Tysse";64,787635;605,196;363,1176;8;0;201,9156;
10;"Haugesund";4;"Kvam-Jondal";56,1485766666667;534,375;320,625;8;0;174,4996;
10;"Haugesund";5;"Odda";47,0973016666667;451,264;270,7584;8;0;143,2456;
10;"Haugesund";6;"Røldal";36,72551;352,336;211,4016;8;0;107,4156;
10;"Haugesund";7;"Sauda";26,37125;259,375;155,625;20;0;74,16;
10;"Haugesund";8;"Ølen";16,5825;164,236;98,5416;20;0;41,97;
10;"Haugesund";9;"Aksdal";5,02108333333333;69,9;41,94;60;0;9,68;
10;"Haugesund";11;"Kårstø";10,8607383333333;114,375;68,625;20;0;24,5318;
10;"Haugesund";12;"Stavanger";23,918905;256,524;153,9144;40;0;73,6518;
10;"Haugesund";13;"Haukeligrend";47,8185016666667;475,591;285,3546;8;0;152,4976;
10;"Haugesund";14;"Åmot";59,8625683333333;563,404;338,0424;8;0;185,9216;
10;"Haugesund";15;"Brunkeberg";71,856685;649,039;389,4234;8;0;218,5536;
10;"Haugesund";16;"Bø";71,8938016666667;739,975;443,985;16;0;254,1706;
10;"Haugesund";17;"Nordagutu";91,1536266666667;782,016;469,2096;8;0,5;271,1476;
10;"Haugesund";18;"Skien";101,193043333333;854,796;512,8776;16;0,5;301,5776;
10;"Haugesund";19;"Notodden";82,9371016666667;811,344;486,8064;8;0;283,5136;
10;"Haugesund";20;"Kongsberg";92,995805;878,656;527,1936;8;0;311,0058;
